2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59989      LSD1 > whats up
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59989      LSD1 has left the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 has join the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > hi
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > asdadsasd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > asdasdasdasd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > asdsadasdasdsad
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > asdasdasdasdas
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > d
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > adsadasdasdsad
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > asdasdasdsadsad
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > asdasdasdasdasd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > asdasdasdsadas
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > dsadsadsadsadsadsa
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > dsadasdsadasdsad
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > adsadsadsadsa
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > dsadasdsadasdsadsa
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > dsadsadsadsadsad
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > sadsadsadsadsadsa
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > dsadasdsadasd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > asdasd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > asdsadadsa
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:60003      LSD1 > dasd
